Place,avg_polarity,avg_subjectivity,review_count,dominant_sentiment
Sri Vani Science Park,0.4381,0.7017,8,Positive
Goamaze,0.4381,0.7143,1,Positive
Kailash Hill Sunset,0.4379,0.6811,11,Positive
Agroha Dham,0.4378,0.6061,23,Positive
Mukerti National Park and Lake,0.4378,0.576,18,Positive
Dhartimata Temple,0.4378,0.6342,5,Positive
Jain Glass Temple,0.4378,0.6761,23,Positive
Chalakudy River,0.4377,0.6528,31,Positive
Tibetan Homes School,0.4376,0.629,8,Positive
Parakovil Sri Krishna Temple on top of the Thirumala Hill Rock,0.4375,0.575,4,Positive
Kakatiya Rock Garden,0.4375,0.6271,10,Positive
Attraction,0.4375,0.5625,1,Positive
BRP Dam,0.4375,0.7708,3,Positive
Hrimkargiri Jain Shwetambar Tirth,0.4375,0.6529,7,Positive
Rampa Waterfalls,0.4375,0.5558,4,Positive
Hatundi Rata Mahabir Swami Temple,0.4375,0.6062,2,Positive
Prem Mandir - Shyama Shyam Dham,0.4372,0.6273,865,Positive
Loukoipat Ecological Park,0.4371,0.6871,1,Positive
Swasti Contemporary Art Gallery,0.4371,0.5358,9,Positive
7 Wonders,0.437,0.6327,198,Positive
Gudguda Water Fall,0.4369,0.6853,11,Positive
Muniyara Cave,0.4369,0.7226,7,Positive
Putudi Waterfall,0.4367,0.6938,6,Positive
Ratnagiri Lighthouse,0.4366,0.6543,28,Positive
Kutch Bustard Sanctuary,0.4365,0.5892,8,Positive
The Forum Sujana Mall,0.4363,0.6422,186,Positive
Varahi Deula Temple,0.4363,0.6485,10,Positive
Luni River,0.4361,0.6418,5,Positive
Dyaanin,0.436,0.6695,7,Positive
Appararao gallerirs,0.436,0.6975,3,Positive
Belle Mall,0.436,0.704,2,Positive
Ambica arts,0.4359,0.6656,4,Positive
Tamhini Falls,0.4359,0.5346,16,Positive
Bharat Mata Chowk,0.4358,0.5536,5,Positive
Pegasus Shopping Mall,0.4357,0.6529,5,Positive
Shri Swaminarayan Mandir,0.4356,0.61,216,Positive
Imphal Valley,0.4356,0.6495,32,Positive
Mausoleum of Bahu Begum,0.4356,0.7011,5,Positive
Lets Trip Cycle Tours,0.4356,0.6848,15,Positive
Devdi Temple,0.4355,0.7091,1,Positive
Dwarkadessh Mandir,0.4355,0.659,8,Positive
Mega Shopping Mall,0.4354,0.6604,4,Positive
Roza Rozario Art Gallery,0.4354,0.6562,1,Positive
Birsa Munda Park,0.4352,0.621,27,Positive
Ghanti Dara,0.4351,0.5956,14,Positive
EleSafari,0.435,0.663,571,Positive
Karkotaka Temple,0.435,0.5474,10,Positive
Mountain View Adventure Park,0.435,0.5448,17,Positive
Bhatsa River Valley,0.435,0.5752,20,Positive
Iphipani Ghat,0.435,0.5133,2,Positive
"Ramakrishna Math, Ramanathapuram",0.4347,0.8583,3,Positive
Toy Museum,0.4347,0.54,8,Positive
Sri Ranganathar Temple,0.4346,0.5672,18,Positive
Sri Sevan Vinagar Temple,0.4345,0.4369,3,Positive
Deepak Mahal,0.4345,0.5506,7,Positive
Himachal Tourist Taxi,0.4344,0.5875,2,Positive
Udaipur Voyage Day Tour,0.4344,0.5656,21,Positive
Chuti Park,0.4344,0.5206,3,Positive
Panchamukhi Ganesha Temple,0.4343,0.7182,21,Positive
Bundlamata Temple,0.4342,0.6929,9,Positive
Bheru Tarak Dham Jain Temple,0.4342,0.6336,10,Positive
Kalibari Temple,0.434,0.6405,8,Positive
The Grand Canyon of India,0.434,0.725,3,Positive
Padmalaya Studio,0.434,0.6962,3,Positive
Kote Betta,0.4339,0.617,47,Positive
Art Explore,0.4338,0.4528,1,Positive
Chandubi Lake,0.4337,0.6385,26,Positive
Elefunenjoy,0.4336,0.6708,72,Positive
Manuabhan Tekri,0.4336,0.6114,28,Positive
Ka Kper Syiem Sohra,0.4334,0.6074,13,Positive
MAA Rani Bhatiani Temple,0.4334,0.7937,7,Positive
Shri Ishwara Temple,0.4333,0.8333,1,Positive
RamyaSadasivams Art Gallery,0.4333,0.72,1,Positive
Artsphere Contemporary,0.4333,0.8146,2,Positive
Dandeswar Mahadev Temple,0.4333,0.7333,1,Positive
Shristi Pahar Park,0.4333,0.45,2,Positive
Kalyana Theertham,0.4333,0.5725,4,Positive
Maangalya Shopping Mall,0.4333,0.35,2,Positive
Sri Saisathsanga Nilayam,0.4333,0.7583,2,Positive
Sirsi Dam,0.4333,0.5333,1,Positive
Nadeem's house,0.4333,0.4667,1,Positive
Kichakagarh Fort,0.4333,0.8333,1,Positive
Barahi Temple,0.4333,0.7081,5,Positive
Chakkamkulangara Shiva Temple,0.4333,0.5667,1,Positive
NimTree Wildlife Safaris,0.4333,0.5667,1,Positive
Chethalayam Waterfalls,0.4333,0.6667,1,Positive
Falna Railway Station,0.4333,0.4875,2,Positive
"Shri Balaji Temple, Talai Wale Balaji",0.4333,0.7296,1,Positive
Maheshwar Shiva Temple,0.4333,0.5167,3,Positive
Fort Madhogarh,0.4332,0.7164,10,Positive
Balidaan Stambh - War Memorial,0.433,0.6545,8,Positive
Kunkeshwar Beach,0.433,0.6897,31,Positive
Chandragiri Hills,0.433,0.7245,4,Positive
Akkanabasadi Temple,0.4327,0.703,8,Positive
Baglihar Dam,0.4325,0.6336,21,Positive
Jonha Falls,0.4325,0.5965,119,Positive
Kemmangundi Peak,0.4323,0.5962,23,Positive
Badamtam Tea Estate,0.4323,0.5973,5,Positive
Kharosa Caves,0.4323,0.6583,5,Positive
Kelva Beach,0.4322,0.6052,12,Positive
Kot Bhramari Temple,0.4319,0.5167,2,Positive
Nanda Bhavan Or Nandagram Temple,0.4317,0.549,7,Positive
CS Grand,0.4317,0.5277,5,Positive
Shree Nakoda Avati 108 Jain Temple,0.4317,0.6206,7,Positive
Jain Mandir Salawa,0.4316,0.5625,6,Positive
Kottancheri Hills,0.4316,0.6325,13,Positive
Thrissanku Hills,0.4315,0.627,6,Positive
Deolo Hill,0.4315,0.6261,529,Positive
Navgrah Shani Mandir,0.4314,0.6121,3,Positive
Shravanathji's Temple,0.4314,0.6651,8,Positive
Kailasagiri,0.4313,0.6252,1410,Positive
KayakBoy,0.4313,0.6077,9,Positive
Anagha Mahalakshmi,0.4313,0.6385,3,Positive
Ranjeet Hanuman Mandir,0.4312,0.85,2,Positive
Murdeshwar Fort,0.4312,0.7054,10,Positive
Dhola Maru Art Gallery,0.4312,0.7167,4,Positive
Rajaji Memorial,0.4312,0.625,1,Positive
Gurdwara Baba Bhai Sikh Ji,0.4312,0.6062,1,Positive
Dhanvi Tourizm,0.4311,0.6416,29,Positive
Ranipuram,0.431,0.6198,48,Positive
Govind Pashu Vihar Wildlife Sanctuary,0.4309,0.6313,10,Positive
Jyeshtheshvara Temple,0.4309,0.6062,14,Positive
Panacea The Village,0.4308,0.6402,4,Positive
Bhavali Dam,0.4308,0.648,44,Positive
Shrine of Our lady of Grace,0.4307,0.5453,5,Positive
Akloli Kund,0.4307,0.6883,5,Positive
Vrindavan Farm,0.4307,0.6199,11,Positive
Hinglaj Mata Temple,0.4306,0.6778,3,Positive
Loam’s View Point,0.4305,0.6167,67,Positive
Blessings Aquarium,0.4304,0.6345,4,Positive
Chapoli Dam,0.4302,0.5724,13,Positive
The Chanakya,0.4302,0.5333,73,Positive
Maa Barunei Temple,0.4302,0.6115,5,Positive
Samco Ropeway,0.4302,0.675,4,Positive
Makkalagudi Betta,0.4301,0.6184,11,Positive
Vardhaman Park,0.4301,0.6385,20,Positive
Kushaleshwar Temple,0.43,0.71,1,Positive
ODCAR,0.43,0.5483,2,Positive
Shri Gopalakrishna Temple,0.43,0.6961,13,Positive
Shukrawari Lake,0.43,0.5598,7,Positive
Sree Maha Ganapathy Temple,0.4299,0.6033,13,Positive
Sukhanand Dham,0.4299,0.5175,13,Positive
Banni Khera Farm,0.4299,0.6108,46,Positive
The Shop,0.4298,0.7676,12,Positive
Nareli Jain Temple,0.4298,0.6254,105,Positive
"ISKCON Aravade, Sri Sri Radha Gopal Temple",0.4298,0.6413,16,Positive
Canoe Kerala,0.4298,0.6313,118,Positive
Bal Sangrahalaya,0.4297,0.5324,8,Positive
Bansagar Dam,0.4296,0.7083,4,Positive
Jakholi Temple,0.4295,0.5193,4,Positive
Shri Tirupati Balaji Mandir,0.4294,0.753,4,Positive
Tiger Journey,0.4294,0.5978,33,Positive
Garden of Silence,0.4294,0.6133,19,Positive
Lingabudi Lake,0.4293,0.6002,20,Positive
Gudem Satyanarayana Swamy Temple,0.4292,0.8083,2,Positive
Amartex Shoppers World,0.4292,0.7944,3,Positive
Madhi Masjd,0.4292,0.6708,4,Positive
Bihar Institute of Handicrafts and Designs,0.4292,0.7052,8,Positive
Njarackal Arattuvazhi Beach,0.4289,0.6163,14,Positive
Tirupati Natural and Water Prak,0.4289,0.5848,7,Positive
Pakala Beach,0.4288,0.7083,2,Positive
Jogi Bhadak Waterfall,0.4286,0.7286,1,Positive
Dhwajadhari Hill,0.4286,0.6357,1,Positive
Vagheshwari Mandir Temple,0.4286,0.5281,5,Positive
Maheshwari Palace Mall,0.4285,0.6899,4,Positive
Hemadpanthi Temple-Mosque,0.4284,0.6887,11,Positive
Overbury's Folly,0.4284,0.5657,29,Positive
Government Law College,0.4282,0.468,8,Positive
Cliff Walkway,0.4279,0.6349,26,Positive
Pradhanpat Waterfalls,0.4279,0.5371,5,Positive
"Siolim Fishing, Goa",0.4279,0.7719,2,Positive
Rasik Bihari Temple (Niniji Temple),0.4278,0.5306,2,Positive
Chaundeshwari Devi,0.4278,0.5806,3,Positive
Topansar Lake,0.4278,0.5862,11,Positive
Kangan Ghat (Chimney Ghat),0.4277,0.6354,6,Positive
Krishnasar Lake,0.4275,0.5908,6,Positive
Kambhalia Gate,0.4275,0.5211,14,Positive
Himayat Sagar Lake,0.4275,0.6323,53,Positive
Ganesh Pol Gateway,0.4275,0.6301,180,Positive
Grover Zampa Vineyards Nashik,0.4273,0.5797,18,Positive
Arulmigu Subramanyar Thirukoil Temple,0.4273,0.7121,5,Positive
Mukurti Peak,0.4272,0.5736,20,Positive
EllaiPedari Amman Temple,0.4271,0.7071,7,Positive
Koolippatti Murugan Temple,0.4271,0.6236,3,Positive
Udaipur Taxi Tour,0.4271,0.7806,4,Positive
Patel Park,0.427,0.6217,10,Positive
Stokes Farm,0.4269,0.6838,23,Positive
Panchapalli Dam,0.4268,0.6057,19,Positive
Parasnath Jain Temple,0.4268,0.7094,6,Positive
Disfrutando India,0.4268,0.6078,5,Positive
Lord Sanamahi Temple,0.4267,0.7333,6,Positive
Nifa Fine Art,0.4267,0.5956,17,Positive
Castle And king,0.4267,0.5743,11,Positive
Star Mall,0.4267,0.5081,8,Positive
Oriental Art Gallery,0.4266,0.6354,4,Positive
Vaitarna Dam,0.4266,0.6171,134,Positive
Banana Surf School,0.4265,0.6408,18,Positive
Matthieu Foss Gallery,0.4264,0.5878,3,Positive
Rajasthan Adventure & Nature Academy,0.4263,0.6136,38,Positive
Tenneti Park,0.4263,0.6041,46,Positive
Sri Jagannatha Temple,0.4262,0.584,9,Positive
Nalas Mandir,0.4262,0.6799,15,Positive
Gangamma Devi Temple,0.4262,0.667,12,Positive
Ferozepur Nallah,0.4261,0.6817,8,Positive
Honey Moon Point,0.426,0.6156,91,Positive
Magic Planet Theme Park,0.426,0.7551,396,Positive
Darlaghat,0.426,0.7205,11,Positive
Siddhanath Siva Temple,0.4259,0.4837,4,Positive
Asia Society and Museum,0.4259,0.5604,5,Positive
Thomankuthu  Falls,0.4258,0.7171,11,Positive
Art Mart,0.4258,0.7774,2,Positive
The Faraway Tree Gallery,0.4257,0.6416,7,Positive
Panchatirtha,0.4257,0.5871,5,Positive
Ocean Delight Surf School,0.4257,0.5778,32,Positive
The Attic,0.4257,0.4805,2,Positive
Panitras Samtaber,0.4256,0.6488,13,Positive
Maa Tara Chandi Temple,0.4255,0.6161,12,Positive
Nilkanth Dham Swaminarayan Temple,0.4254,0.6325,110,Positive
Jaldhaka River Valley,0.4253,0.5155,8,Positive
"ISKCON Nellore, Sri Sri Radha Shyamasundar Temple",0.4253,0.5888,18,Positive
Salaulim Dam,0.4252,0.6525,42,Positive
Krp Dam,0.4251,0.5792,14,Positive
Biran Ka Gumbad,0.425,0.5,1,Positive
St Nicholas Church,0.425,0.5861,3,Positive
Square A contemporary art gallery,0.425,0.5625,2,Positive
Kalimath Temple,0.425,0.5,2,Positive
Government Educational Museum,0.425,0.65,4,Positive
Sri Venkatachalapathy Temple,0.425,0.5667,1,Positive
Vardayini Waterfalls,0.425,0.75,1,Positive
Teevardev Mahavihara,0.425,0.55,2,Positive
Ghumadai Temple,0.425,0.5,2,Positive
Mons Reymonds Tomb,0.425,0.6625,2,Positive
The Stage Boutique,0.425,0.7333,2,Positive
Bara Chukki,0.4249,0.5849,16,Positive
BNHS Conservation Education Centre,0.4248,0.5699,8,Positive
Woof Woof,0.4248,0.6136,194,Positive
Vallonne Vineyards,0.4247,0.6584,248,Positive
Elphinstone Point,0.4246,0.5867,172,Positive
The Glen,0.4245,0.657,57,Positive
Ram Van Temple,0.4244,0.5273,9,Positive
Chhipa Textile,0.4244,0.5194,10,Positive
Jagannathi Temple,0.4243,0.6493,10,Positive
Yediyur Siddhalingeshwara Temple,0.4242,0.7211,12,Positive
Pomburpa Spring,0.4242,0.8083,5,Positive
Pavapuri Jain Temple,0.4241,0.61,37,Positive
Adhishakthyathmaka Sri Annapoorneshwari Temple,0.424,0.6305,78,Positive
Gangegowda Agencies,0.424,0.5421,2,Positive
Jamva Ramgarh Wildlife Sanctuary,0.4239,0.7222,6,Positive
DLF Promenade Mall,0.4239,0.5261,483,Positive
Select Citywalk,0.4238,0.6043,1016,Positive
Patrika Gate,0.4237,0.6577,28,Positive
Jarandeshwar,0.4237,0.6408,6,Positive
Ambur Shoe Lounge,0.4236,0.6123,8,Positive
Mallinath Jain Tirth Kosbad Temple,0.4235,0.6504,17,Positive
Laxminrayanji Temple,0.4234,0.5906,4,Positive
Shri Sai Baba Temple,0.4234,0.6096,40,Positive
Sat Deul,0.4234,0.6388,4,Positive
Sai Ropa Tourist Center,0.4234,0.5399,7,Positive
Rayaparthy Shiva Temple,0.4233,0.7244,3,Positive
Mandawa Falls,0.4233,0.5804,4,Positive
Shyamrai Temple,0.4232,0.5695,82,Positive
Nd Theme Park,0.4232,0.6397,3,Positive
Yedgaon Dam,0.4231,0.5645,5,Positive
Kalanikethan Wedding Mall,0.4231,0.6651,6,Positive
Tatipudi Reservoir,0.423,0.5774,15,Positive
Sri Hari Mandir Temple,0.4229,0.6574,62,Positive
Burhanath Mandir,0.4229,0.6885,8,Positive
Wave Mall Jammu,0.4229,0.5582,24,Positive
Tilting Art Gallery,0.4229,0.4607,2,Positive
Parimala Ranganathar Temple,0.4229,0.5376,25,Positive
Pracheen Kala Kendra,0.4228,0.4961,10,Positive
Our Lady of the Sea,0.4228,0.5747,8,Positive
Arani River,0.4227,0.6686,7,Positive
Inspire Art Gallery,0.4226,0.7036,4,Positive
Kaladham,0.4225,0.6605,29,Positive
Shiva Textile,0.4225,0.6634,14,Positive
Suryadeo Mando Devi Temples,0.4225,0.635,10,Positive
Xtreme Adventures yelagiri hills,0.4225,0.5417,5,Positive
Galikonda View Point,0.4224,0.6213,15,Positive
Rose Valley Amusement Park,0.4224,0.5395,10,Positive
Bijasan Mata Temple,0.4223,0.65,7,Positive
Mango Meadows Agricultural Theme Park,0.4223,0.5858,73,Positive
Tipu Sultan Mosque,0.4222,0.7444,1,Positive
St. Joseph's Church,0.4222,0.5979,8,Positive
Jai Durga Maa Temple,0.4222,0.534,3,Positive
Sri Ram Temple Bajha,0.4222,0.3944,1,Positive
Radhe Shopping Mall,0.4222,0.5333,2,Positive
Dudhsagar Plantation and Farmstay,0.4222,0.5975,32,Positive
Singhi Jain Mandir,0.4222,0.5111,1,Positive
Bioscope Multiplex,0.4221,0.5845,9,Positive
Rita's Gourmet Goa,0.4221,0.6351,538,Positive
Vishnubaaug Environment Theme Park,0.4221,0.5916,12,Positive
Calvery Temple,0.422,0.5576,7,Positive
Pasharwanath Tirth,0.422,0.6346,14,Positive
Bango Dam,0.4219,0.5484,11,Positive
Swaminarayan Temple,0.4219,0.6351,470,Positive
Hathia Pol,0.4219,0.6223,12,Positive
Bmg Mall,0.4219,0.5192,31,Positive
Belghar Nature Camp,0.4218,0.7327,5,Positive
Janaki Forest,0.4217,0.5721,15,Positive
Kot Buddhist Monastery,0.4217,0.4733,3,Positive
Ayappa Temple,0.4215,0.5599,7,Positive
Shree Swami Samarth,0.4214,0.6295,5,Positive
Kotkhai Palace,0.4214,0.6581,11,Positive
Rishi Valley School,0.4213,0.6012,9,Positive
Shree Khodaldham Mandir - Kagvad,0.4212,0.6011,8,Positive
Hanging Rocks,0.4211,0.65,6,Positive
Phoenix United,0.4211,0.5223,42,Positive
Bansal Mall,0.4209,0.6423,8,Positive
Aalloa Hills Resort & Golf Course,0.4208,0.6501,33,Positive
Kanjaripuzha Dam,0.4208,0.6438,6,Positive
The Sport Mall,0.4208,0.5194,3,Positive
Obstacle Park,0.4208,0.5917,2,Positive
Raghunath Market,0.4208,0.5042,2,Positive
Sathnala Dam,0.4208,0.8126,5,Positive
Pu La Deshpande Garden,0.4208,0.5972,3,Positive
Jalavihar Water Park,0.4207,0.6123,287,Positive
Kozhippara Falls,0.4206,0.5781,46,Positive
Saint Anna Taxi and Tours,0.4206,0.5704,10,Positive
Gopalan Arcade Mall,0.4205,0.5374,35,Positive
Louisa Point,0.4205,0.576,296,Positive
Genesis Houseboats and Tours,0.4205,0.7062,5,Positive
Ambuja City Center Mall,0.4204,0.5716,165,Positive
Narmada Park,0.4204,0.6221,37,Positive
Phurli Jharan Falls,0.4204,0.5933,7,Positive
Cinepolis,0.4203,0.5859,4,Positive
Rani Rupmati Mosque,0.4203,0.585,9,Positive
Zoya Holidays,0.4203,0.5391,8,Positive
Hare Krishna Golden Temple,0.4202,0.5877,3,Positive
Kailash Tekari,0.4202,0.6028,13,Positive
Trineteshwar Temple,0.4202,0.664,9,Positive
Bekal Riviera,0.4201,0.5528,8,Positive
Walk to blueCity heritagetour,0.42,0.5533,26,Positive
Sri Othandeshwarar Temple,0.42,0.68,1,Positive
Gallery Sanskriti,0.42,0.4054,4,Positive
Dhoopgarh,0.4199,0.6167,310,Positive
Sula Vineyards,0.4198,0.641,2568,Positive
Paradeep Beach,0.4198,0.7074,7,Positive
"Malom - ""The coorg of Kerala""",0.4197,0.6092,16,Positive
Rathore Adventures,0.4196,0.6289,55,Positive
Krishna Vatika Mandir,0.4196,0.6753,14,Positive
Cactus Garden Sailana,0.4195,0.5962,23,Positive
Jitesh Arts,0.4194,0.7203,24,Positive
Church Square,0.4193,0.5743,44,Positive
Parshwanath Temple,0.4192,0.5633,5,Positive
Hobby Paradise,0.419,0.5071,1,Positive
Sonanadi River,0.419,0.5696,8,Positive
Shri Radhakrishna Temple,0.4189,0.6215,179,Positive
Laxmi Strawberry Farm,0.4188,0.5452,22,Positive
Flying Fox Neemrana,0.4188,0.6322,470,Positive
Bedi Port,0.4187,0.6296,14,Positive
Elefun,0.4187,0.5803,132,Positive
UbEx,0.4187,0.6289,15,Positive
Raya Resorts,0.4187,0.6577,4,Positive
Gurudwara Moti Bagh Sahib,0.4186,0.6295,4,Positive
Nagarkot ki Rani Temple,0.4186,0.5886,8,Positive
Kalleshvara Temple,0.4185,0.694,7,Positive
Montelchino Italy,0.4185,0.7158,2,Positive
Arishina Gundi Falls,0.4185,0.5262,2,Positive
Revansiddeshwar Temple,0.4185,0.5813,11,Positive
Hanging Bridge,0.4184,0.6653,8,Positive
Nagvasuki Temple,0.4184,0.5607,9,Positive
Gopi Talav,0.4184,0.5787,162,Positive
Margi Theatre,0.4183,0.7338,3,Positive
Vinayak City Centre,0.4183,0.614,5,Positive
Goverdhan Sagar Lake,0.4183,0.6123,11,Positive
Bamanvadji Temple,0.4183,0.8254,3,Positive
Shantika Parameshwari Temple,0.4182,0.52,5,Positive
Jain Mandir Nashik,0.4181,0.6268,91,Positive
CYI - Classical Yoga International,0.4181,0.4514,10,Positive
Rajasthan Small Scale Cottage Industry,0.4181,0.5726,526,Positive
Kedarnath Mahadev Temple,0.418,0.6526,6,Positive
Masuriya Hill Garden,0.4178,0.6188,29,Positive
Ekashila Waterfall & Children Garden,0.4178,0.5384,12,Positive
Reversing Station,0.4177,0.6207,50,Positive
Fratelli Wines,0.4177,0.6344,51,Positive
Kugti Wildlife Sanctuary,0.4176,0.7055,7,Positive
Natraj Mandir,0.4176,0.5977,20,Positive
Lost Paradise Goa - Day Cruise,0.4176,0.6134,112,Positive
Amrutanjan Point,0.4175,0.6034,10,Positive
PVR Cinemas,0.4175,0.5413,48,Positive
Moti Tibba,0.4175,0.5309,15,Positive
Chandramouleshwar Mahadev Temple,0.4175,0.6325,4,Positive
Baba Barkhandi Nath Temple,0.4174,0.6792,4,Positive
Deccan Odyssey,0.4174,0.7116,153,Positive
Shreyas Folk Museum,0.4173,0.6073,19,Positive
Raja Rajeswari Temple,0.4173,0.5938,4,Positive
Ranamandala Konda,0.4173,0.5702,7,Positive
Darbar Gadh,0.4173,0.6348,6,Positive
Sai Temple,0.4172,0.5562,16,Positive
Lumpongdeng Island,0.4172,0.6508,17,Positive
"ISKCON Kanpur, Sri Sri Radha Madhav Temple",0.4172,0.6116,107,Positive
Kottakkunnu,0.417,0.5551,41,Positive
Goa Yatra,0.417,0.5613,39,Positive
Burnzam Ghor,0.417,0.5629,7,Positive
Sivan Park,0.4169,0.6144,4,Positive
Leela Goa Spa Centre,0.4169,0.6404,49,Positive
Thumboormuzhy Dam,0.4169,0.6253,46,Positive
The Cabo Palace,0.4169,0.6002,40,Positive
Naina Peak,0.4169,0.619,211,Positive
Bigbazaar,0.4168,0.5159,13,Positive
Uddhava Temple,0.4167,0.45,3,Positive
Gallerie Ganesha,0.4167,0.5333,1,Positive
Gautam Rishi's Temple,0.4167,0.4422,3,Positive
Quber Arts,0.4167,0.5958,2,Positive
Suraj Garden,0.4167,0.4833,2,Positive
Gandikota Camping,0.4167,0.6583,1,Positive
Ram Dwara Temple,0.4167,0.6333,1,Positive
Gopegarh Heritage Park,0.4167,0.6083,2,Positive
Raja Bharatpur's Palace,0.4167,0.7167,3,Positive
Rabindra Bhawan,0.4167,0.7,5,Positive
Kailash Caves,0.4167,0.5333,2,Positive
Sri Jagannath Temple,0.4167,0.5469,8,Positive
Kannadipara,0.4167,0.5667,3,Positive
Ashtabhuja Temple,0.4167,0.6208,6,Positive
Shri Zadoli Teerth,0.4167,0.4833,2,Positive
Roy Villa,0.4167,0.3583,3,Positive
Harishchandrani Chauri,0.4167,0.6917,3,Positive
Rhythm Art Gallery,0.4167,0.6378,26,Positive
Gurudwara Peer Baba Budhan Shah Ji,0.4167,0.6889,1,Positive
Sri Gayatri Tapobhoomi,0.4167,0.5556,1,Positive
Dow Hill,0.4166,0.725,7,Positive
Nandan Van Zoo & Safari,0.4166,0.5738,43,Positive
Birla City Water Park,0.4165,0.5705,36,Positive
Managir Village,0.4164,0.6054,13,Positive
Tyrshi Falls,0.4164,0.6323,13,Positive
Vaayu,0.4162,0.6027,11,Positive
CIMA Gallery,0.4162,0.6833,8,Positive
Koiliguhar Waterfall,0.416,0.4795,7,Positive
Gold Souk Grande Mall,0.4159,0.6141,2,Positive
Desert Handicraft Emporium,0.4159,0.6299,7,Positive
Gopinath Mandir,0.4158,0.6,1,Positive
Nyara River,0.4158,0.5073,15,Positive
Vriddheshwar Temple,0.4157,0.5751,8,Positive
Kanakeshwar Forest,0.4157,0.6521,12,Positive
Trinesvaraswamy Temple,0.4156,0.5835,23,Positive
Thikse Gompa,0.4155,0.6456,19,Positive
ISKCON NVCC Temple,0.4154,0.6147,777,Positive
movieEX,0.4154,0.6649,5,Positive
Great Nicobar Biosphere Reserve,0.4153,0.6556,2,Positive
ISKCON Chandrodaya Temple,0.4153,0.5775,63,Positive
Orissa Modern Art Gallery,0.4153,0.6606,5,Positive
Indipix Gallery,0.4152,0.5463,3,Positive
Forest Nursery,0.4152,0.6878,7,Positive
Salugara Monastery,0.4152,0.6181,18,Positive
Tringalwadi Lake,0.4151,0.68,11,Positive
Nishat Garden,0.4151,0.6284,1236,Positive
Sacred Heart Shrine,0.415,0.6158,4,Positive
Sakshi Gallery,0.415,0.585,2,Positive
Tala Fort,0.4149,0.6331,6,Positive
Shree Manudevi,0.4149,0.6392,10,Positive
Plato Point,0.4148,0.7231,3,Positive
St Rita's Church,0.4146,0.5983,2,Positive
Bhandar Dongar,0.4146,0.6055,15,Positive
Canal Centenary Bridge,0.4146,0.6139,4,Positive
Kalpataru Botanical Gardens,0.4146,0.5812,4,Positive
Achabal Garden,0.4145,0.6251,45,Positive
Swami Ayurveda and Spa,0.4145,0.6217,10,Positive
Calcutta Police Museum,0.4144,0.5341,2,Positive
Kuda Caves,0.4143,0.3429,2,Positive
Nizamia Observatory,0.4143,0.7086,5,Positive
Ram Kund,0.4143,0.678,7,Positive
The Modi and Tiberwala Haveli,0.4143,0.6896,8,Positive
Microwave View Point,0.4143,0.608,2,Positive
Garapantha Digambar Jain Siddhakshetra & Chambhar Leni - Jain Temple,0.4143,0.6794,5,Positive
Child Art Gallery,0.4142,0.6652,13,Positive
Solapur Science Centre,0.4142,0.4733,8,Positive
Anjaneyaswamy Temple,0.4142,0.6233,5,Positive
Bhagwat Vidyapith,0.4142,0.5685,22,Positive
Make Bike Trip,0.4141,0.5885,301,Positive
Gandhamardan Hill Trek,0.4141,0.5,4,Positive
East Indian Museum,0.4141,0.7806,2,Positive
Sadni Falls,0.4139,0.5556,3,Positive
Torna Devi Temple,0.4139,0.5977,3,Positive
"Mountain Tours, Treks & Travels",0.4138,0.53,362,Positive
"Statue of Unity, Vadodara India",0.4137,0.5709,20,Positive
Khandoli Park,0.4137,0.6833,21,Positive
Kalabar Art Gallery,0.4136,0.7332,8,Positive
Phool Mahal,0.4136,0.6675,104,Positive
Pallete Art Gallery,0.4135,0.5325,1,Positive
Pabbar Valley,0.4135,0.6702,14,Positive
Della Adventure Park,0.4132,0.6115,3904,Positive
Fun Gaon,0.4132,0.5165,16,Positive
Catholic Art Museum,0.4132,0.62,5,Positive
Bathi Gudda,0.413,0.5958,8,Positive
Lock Heart Gap,0.4128,0.6176,213,Positive
Jalore Fort,0.4128,0.6234,8,Positive
Gangani,0.4127,0.5974,20,Positive
Kasauni Tea Estate,0.4126,0.6021,15,Positive
MGM APJ Abdul Kalam Astrospace Science Centre & Club,0.4126,0.4882,3,Positive
Wildlife SOS,0.4125,0.6405,1517,Positive
Sri Bhaktha Kanteswara Swamy Temple,0.4125,0.6625,2,Positive
Phushrey Lake,0.4125,0.6442,9,Positive
Sree Venu Gopala Swamy Temple,0.4125,0.6604,4,Positive
Shravanabelegula Railway Station,0.4125,0.6542,2,Positive
Shri Ujjaini Saddharma Peetha,0.4125,0.3313,2,Positive
Paramahansanath Temple,0.4125,0.7125,2,Positive
Ram madhi,0.4125,0.5471,23,Positive
Imambara Goom,0.4124,0.6493,5,Positive
New Life Assembly of God,0.4124,0.5244,4,Positive
Prem Wonderland and Prem Water Kingdom,0.4123,0.5918,34,Positive
Sri Kapileswaraswami Temple,0.4123,0.6024,26,Positive
Noori Chamb,0.4122,0.681,6,Positive
Parleshwar Ganpati Mandir,0.4122,0.7368,10,Positive
Subhash Park,0.4122,0.5864,99,Positive
Janapav,0.4121,0.611,38,Positive
Jawai Safari's,0.4121,0.6737,30,Positive
Bosepukur Sitala Mandir,0.412,0.648,4,Positive
Rajiv Gandhi Beach,0.412,0.6057,20,Positive
Kiala Forest,0.4119,0.4494,12,Positive
Crescent Water & Amusement Park,0.4119,0.5638,37,Positive
